1 XENON_low 0.213 n 6.02488  0.000794821 0.220707
1 XENON_low 0.213 n 6.02488  0.000794821 0.220707
1 XENON_low 0.213 p 6.01613  0.00114079 0.222796
3 XENON_low 0.213 n 4.90291  81.0979 161.104
3 XENON_low 0.213 p 4.90277  109.069 163.257
4 XENON_low 0.213 n 5.98994  0.50779 0.218356
4 XENON_low 0.213 p 5.9868  18.005 0.218622
5 XENON_low 0.213 n 5.28039  192.25 39.0462
5 XENON_low 0.213 p 5.27979  276.361 39.0315
6 XENON_low 0.213 n 4.90262  8270.38 166.651
6 XENON_low 0.213 p 4.9027  297118 164.711
7 XENON_low 0.213 n 6.29654  468.377 0.125681
7 XENON_low 0.213 p 6.27081  16567.4 0.128411
8 XENON_low 0.213 n 6.29753  1.68736 0.129426
8 XENON_low 0.213 p 6.29935  2.42393 0.130617
9 XENON_low 0.213 n 5.09736  70.1316 46.615
9 XENON_low 0.213 p 5.09711  2473.06 47.2031
10 XENON_low 0.213 n 5.09681  48.8561 48.0793
10 XENON_low 0.213 p 5.09715  1749.88 47.1468
11 XENON_low 0.213 n 5.2789  -0.170088 47.6558
11 XENON_low 0.213 p 5.09762  0.256062 46.3884
12 XENON_low 0.213 n 5.09796  1.91388 46.0301
12 XENON_low 0.213 p 5.09751  2.5761 46.8102
13 XENON_low 0.213 n 5.09295  4502.48 170.254
13 XENON_low 0.213 p 4.90413  31567.9 167.186
14 XENON_low 0.213 n 5.28028  107071 39.2695
14 XENON_low 0.213 p 5.28021  3.77588e+06 39.8267
15 XENON_low 0.213 n 4.90093  11067.7 321.968
15 XENON_low 0.213 p 4.7049  17032.8 321.826
1 GERMANIUM_low 0.38 n 6.23279  0.000834811 0.234296
1 GERMANIUM_low 0.38 p 6.22512  0.0010569 0.235094
3 GERMANIUM_low 0.38 n 4.61932  217.839 119.802
3 GERMANIUM_low 0.38 p 4.61947  115.952 120.939
4 GERMANIUM_low 0.38 n 6.27009  0.464917 0.230052
4 GERMANIUM_low 0.38 p 6.26307  27.9049 0.231407
5 GERMANIUM_low 0.38 n 4.96246  226.001 32.2276
5 GERMANIUM_low 0.38 p 4.98676  287.936 32.1019
6 GERMANIUM_low 0.38 n 4.7063  8965.06 124.279
6 GERMANIUM_low 0.38 p 4.70827  545972 122.467
7 GERMANIUM_low 0.38 n 6.59892  428.589 0.13266
7 GERMANIUM_low 0.38 p 6.55686  25637.2 0.139308
8 GERMANIUM_low 0.38 n 6.47118  1.76448 0.139243
8 GERMANIUM_low 0.38 p 6.53981  2.2477 0.13763
9 GERMANIUM_low 0.38 n 4.86593  71.0289 34.1841
9 GERMANIUM_low 0.38 p 4.85844  4242.87 34.5459
10 GERMANIUM_low 0.38 n 4.86013  50.0131 34.4636
10 GERMANIUM_low 0.38 p 4.87156  3028.62 33.9246
11 GERMANIUM_low 0.38 n 4.8321  -0.209276 34.2225
11 GERMANIUM_low 0.38 p 4.82761  0.265168 34.2423
12 GERMANIUM_low 0.38 n 4.82734  4.69377 34.1772
12 GERMANIUM_low 0.38 p 4.82611  2.50385 34.3935
13 GERMANIUM_low 0.38 n 4.70622  7097.57 123.666
13 GERMANIUM_low 0.38 p 4.70598  39328.2 124.978
14 GERMANIUM_low 0.38 n 5.02022  109246 32.0041
14 GERMANIUM_low 0.38 p 5.01022  6.53079e+06 32.3017
15 GERMANIUM_low 0.38 n 4.60293  32687 253.25
15 GERMANIUM_low 0.38 p 4.60297  17398.7 255.243
1 SILICON_low 1.3 n 7.58013  0.000879244 0.238852
1 SILICON_low 1.3 p 7.57779  0.000886271 0.238949
3 SILICON_low 1.3 n 5.20838  115.624 122.19
3 SILICON_low 1.3 p 5.2083  114.879 122.105
4 SILICON_low 1.3 n 7.67569  0.501978 0.236856
4 SILICON_low 1.3 p 7.67587  32.8078 0.236934
5 SILICON_low 1.3 n 5.77034  231.412 33.47
5 SILICON_low 1.3 p 5.77289  233.494 33.4574
6 SILICON_low 1.3 n 5.28038  9495.68 122.69
6 SILICON_low 1.3 p 5.27981  618603 123.075
7 SILICON_low 1.3 n 8.15765  -464.883 0.136701
7 SILICON_low 1.3 p 8.1702  30411.3 0.135557
8 SILICON_low 1.3 n 8.02828  1.87683 0.140041
8 SILICON_low 1.3 p 8.03861  1.89342 0.139844
9 SILICON_low 1.3 n 5.62046  73.6849 35.1777
9 SILICON_low 1.3 p 5.62279  4820.47 35.1193
10 SILICON_low 1.3 n 5.6112  51.896 35.4254
10 SILICON_low 1.3 p 5.60698  3385.35 35.5459
11 SILICON_low 1.3 n 5.54535  0.213684 35.2872
11 SILICON_low 1.3 p 5.54376  0.21546 35.2955
12 SILICON_low 1.3 n 5.54276  2.48219 35.3467
12 SILICON_low 1.3 p 5.54423  2.46566 35.3385
13 SILICON_low 1.3 n 5.84099  112506 33.5679
13 SILICON_low 1.3 p 5.83576  7.34056e+06 33.6729
14 SILICON_low 1.3 n 5.85239  112909 33.3526
14 SILICON_low 1.3 p 5.85524  7.38579e+06 33.3019
15 SILICON_low 1.3 n 5.16883  17413.3 257.135
15 SILICON_low 1.3 p 5.16887  17297.7 256.929
1 FLOURINE_low 1.56 n 9.06773  0.000998606 0.178778
1 FLOURINE_low 1.56 p 9.06588  0.00110939 0.178881
3 FLOURINE_low 1.56 n 6.97815  316.107 152.194
3 FLOURINE_low 1.56 p 6.97869  768.529 127.769
4 FLOURINE_low 1.56 n 9.08588  1.32569 0.177929
4 FLOURINE_low 1.56 p 9.08572  -0.0243035 0.1779
5 FLOURINE_low 1.56 n 7.38134  224.032 36.4742
5 FLOURINE_low 1.56 p 7.38059  245.205 37.6552
6 FLOURINE_low 1.56 n 6.97821  18440.7 151.256
6 FLOURINE_low 1.56 p 6.97819  -337.415 151.568
7 FLOURINE_low 1.56 n 9.71213  1232.48 0.121054
7 FLOURINE_low 1.56 p 9.71876  22.605 0.121148
8 FLOURINE_low 1.56 n 9.47691  2.11917 0.119581
8 FLOURINE_low 1.56 p 9.3412  2.33538 0.118785
9 FLOURINE_low 1.56 n 7.37932  164.115 42.4458
9 FLOURINE_low 1.56 p 7.37934  3.01105 42.372
10 FLOURINE_low 1.56 n 7.37938  116.299 42.2315
10 FLOURINE_low 1.56 p 7.37937  -2.12873 42.382
11 FLOURINE_low 1.56 n 7.37931  -0.20184 42.5972
11 FLOURINE_low 1.56 p 7.00129  -0.235261 44.1693
12 FLOURINE_low 1.56 n 7.37928  7.9846 42.6832
12 FLOURINE_low 1.56 p 7.38882  17.3981 15.2202
13 FLOURINE_low 1.56 n 7.38703  263645 34.871
13 FLOURINE_low 1.56 p 7.06698  5025.28 39.3881
14 FLOURINE_low 1.56 n 7.3868  263107 35.0208
14 FLOURINE_low 1.56 p 7.38682  4827.13 34.969
15 FLOURINE_low 1.56 n 6.57533  46573 300.451
15 FLOURINE_low 1.56 p 6.57577  114674 274.795
