1 XENON_low 0.19 n 6.06049  -0.000847828 8.40029
1 XENON_low 0.19 p 6.05035  -0.0012168 8.40115
3 XENON_low 0.19 n 4.22963  122.677 56.5052
3 XENON_low 0.19 p 4.21388  166.534 56.7139
4 XENON_low 0.19 n 6.02485  0.541681 8.39936
4 XENON_low 0.19 p 6.02238  19.2074 8.39946
5 XENON_low 0.19 n 4.82767  232.42 20.9822
5 XENON_low 0.19 p 4.82861  333.899 21.0146
6 XENON_low 0.19 n 4.19059  12803.4 57.0757
6 XENON_low 0.19 p 4.1937  457604 56.5051
7 XENON_low 0.19 n 6.34336  499.499 8.36633
7 XENON_low 0.19 p 6.31546  17668.8 8.36755
8 XENON_low 0.19 n 6.34237  1.79935 8.36796
8 XENON_low 0.19 p 6.34247  2.58542 8.36846
9 XENON_low 0.19 n 4.62572  85.532 21.5363
9 XENON_low 0.19 p 4.6172  3026.55 21.6381
10 XENON_low 0.19 n 4.60815  60.05 21.8326
10 XENON_low 0.19 p 4.61857  2140.4 21.639
11 XENON_low 0.19 n 4.65059  0.216528 21.648
11 XENON_low 0.19 p 4.64598  0.310844 21.6817
12 XENON_low 0.19 n 4.66  -2.31459 21.6929
12 XENON_low 0.19 p 4.63921  3.13585 21.745
13 XENON_low 0.19 n 4.21539  7510.92 56.7685
13 XENON_low 0.19 p 4.21154  48408.3 57.3591
14 XENON_low 0.19 n 4.80903  129914 20.8838
14 XENON_low 0.19 p 4.79971  4.59775e+06 20.9767
15 XENON_low 0.19 n 4.08277  -21675.5 114.265
15 XENON_low 0.19 p 4.07242  -29411.7 114.909
1 GERMANIUM_low 0.36 n 6.20752  0.000880652 8.5252
1 GERMANIUM_low 0.36 p 6.2035  -0.00111346 8.52517
3 GERMANIUM_low 0.36 n 4.44362  250.55 71.2855
3 GERMANIUM_low 0.36 p 4.45524  132.583 72.3958
4 GERMANIUM_low 0.36 n 6.24895  0.489745 8.52188
4 GERMANIUM_low 0.36 p 6.24164  29.4 8.52278
5 GERMANIUM_low 0.36 n 4.96774  237.449 24.9571
5 GERMANIUM_low 0.36 p 4.99511  302.28 24.8821
6 GERMANIUM_low 0.36 n 4.51329  10381.8 73.4531
6 GERMANIUM_low 0.36 p 4.51669  631065 72.3136
7 GERMANIUM_low 0.36 n 6.57354  451.601 8.46547
7 GERMANIUM_low 0.36 p 6.53215  27014.3 8.46982
8 GERMANIUM_low 0.36 n 6.44791  1.85928 8.46979
8 GERMANIUM_low 0.36 p 6.51607  2.36831 8.46868
9 GERMANIUM_low 0.36 n 4.84351  75.199 25.8836
9 GERMANIUM_low 0.36 p 4.83315  4495.93 26.1205
10 GERMANIUM_low 0.36 n 4.83552  52.9858 26.0666
10 GERMANIUM_low 0.36 p 4.85116  3204.49 25.7133
11 GERMANIUM_low 0.36 n 4.8185  0.221043 25.9544
11 GERMANIUM_low 0.36 p 4.81244  0.280169 25.9684
12 GERMANIUM_low 0.36 n 4.81689  4.95353 25.9469
12 GERMANIUM_low 0.36 p 4.80857  2.6476 26.0592
13 GERMANIUM_low 0.36 n 4.513  8220.95 73.3135
13 GERMANIUM_low 0.36 p 4.51204  45584.2 73.8959
14 GERMANIUM_low 0.36 n 5.02653  114754 24.8002
14 GERMANIUM_low 0.36 p 5.01465  6.86342e+06 25.0069
15 GERMANIUM_low 0.36 n 4.37305  40586.3 147.056
15 GERMANIUM_low 0.36 p 4.37291  -21607.2 149.123
1 SILICON_low 1.2 n 7.20615  0.000931279 12.3786
1 SILICON_low 1.2 p 7.20315  0.000938796 12.3787
3 SILICON_low 1.2 n 4.80536  141.819 120.481
3 SILICON_low 1.2 p 4.80577  140.879 120.415
4 SILICON_low 1.2 n 7.29786  0.531673 12.3768
4 SILICON_low 1.2 p 7.42892  34.9776 12.4933
5 SILICON_low 1.2 n 5.44196  258.077 42.5598
5 SILICON_low 1.2 p 5.44406  260.374 42.5509
6 SILICON_low 1.2 n 4.87206  11653.7 120.847
6 SILICON_low 1.2 p 4.87112  759652 121.138
7 SILICON_low 1.2 n 7.75255  492.175 12.2757
7 SILICON_low 1.2 p 7.76354  32194.2 12.2746
8 SILICON_low 1.2 n 7.63171  1.98729 12.2789
8 SILICON_low 1.2 p 7.63926  2.00503 12.2787
9 SILICON_low 1.2 n 5.28858  82.4292 43.9807
9 SILICON_low 1.2 p 5.29078  5391.75 43.9352
10 SILICON_low 1.2 n 5.27977  58.0902 44.1737
10 SILICON_low 1.2 p 5.27572  3790.55 44.2676
11 SILICON_low 1.2 n 5.21734  0.239143 44.0651
11 SILICON_low 1.2 p 5.21622  0.241059 44.0718
12 SILICON_low 1.2 n 5.21539  2.7771 44.1115
12 SILICON_low 1.2 p 5.21654  2.75861 44.1051
13 SILICON_low 1.2 n 5.50929  125499 42.6413
13 SILICON_low 1.2 p 5.50454  8.19014e+06 42.7259
14 SILICON_low 1.2 n 5.51959  125889 42.4681
14 SILICON_low 1.2 p 5.52216  8.23393e+06 42.4274
15 SILICON_low 1.2 n 4.72893  23418.9 238.976
15 SILICON_low 1.2 p 4.72903  23263.5 238.795
1 FLOURINE_low 1.9 n 8.57253  0.000923013 13.2293
1 FLOURINE_low 1.9 p 8.56964  -0.00102549 13.2295
3 FLOURINE_low 1.9 n 5.18408  481.026 118.541
3 FLOURINE_low 1.9 p 5.23262  1122.76 92.4742
4 FLOURINE_low 1.9 n 8.5893  1.22534 13.2272
4 FLOURINE_low 1.9 p 8.58962  0.0224617 13.2272
5 FLOURINE_low 1.9 n 6.01729  248.547 43.3998
5 FLOURINE_low 1.9 p 5.97744  274.898 43.5028
6 FLOURINE_low 1.9 n 5.1862  27982.1 118.232
6 FLOURINE_low 1.9 p 5.18549  512.479 118.335
7 FLOURINE_low 1.9 n 9.20488  1138.29 13.1314
7 FLOURINE_low 1.9 p 9.21153  20.8762 13.1309
8 FLOURINE_low 1.9 n 8.995  1.95941 13.1346
8 FLOURINE_low 1.9 p 8.86844  2.16081 13.1393
9 FLOURINE_low 1.9 n 5.78511  188.147 44.6496
9 FLOURINE_low 1.9 p 5.78667  -3.45006 44.6334
10 FLOURINE_low 1.9 n 5.78855  133.165 44.6035
10 FLOURINE_low 1.9 p 5.78546  2.44027 44.6355
11 FLOURINE_low 1.9 n 5.7813  0.231697 44.6818
11 FLOURINE_low 1.9 p 5.78141  0.257322 44.6871
12 FLOURINE_low 1.9 n 5.78115  9.16601 44.6973
12 FLOURINE_low 1.9 p 6.2855  17.8139 21.0647
13 FLOURINE_low 1.9 n 6.08774  287508 43.2727
13 FLOURINE_low 1.9 p 6.08496  5267.63 43.3025
14 FLOURINE_low 1.9 n 6.0838  287255 43.3156
14 FLOURINE_low 1.9 p 6.08515  5267.84 43.3005
15 FLOURINE_low 1.9 n 5.03629  82760.8 231.837
15 FLOURINE_low 1.9 p 5.04561  199508 201.083
