1 XENON_high 7000 n 1687.15  1.46661e-05 0.151856
1 XENON_high 7000 p 151.204  6.37858e-06 0.0620227
3 XENON_high 7000 n 35.2569  0.0101884 31.6109
3 XENON_high 7000 p 34.4236  -0.0131155 34.0001
4 XENON_high 7000 n 76.1355  -0.0023371 2.07371
4 XENON_high 7000 p 57.0255  0.0768875 4.96741
5 XENON_high 7000 n 44.4813  0.118665 5.15949
5 XENON_high 7000 p 48.0293  0.170686 6.86271
6 XENON_high 7000 n 33.6721  -0.896002 41.9016
6 XENON_high 7000 p 35.1808  42.1127 24.6952
7 XENON_high 7000 n 1.12731e+07  855.462 13.4566
7 XENON_high 7000 p 56.5189  69.8026 5.68097
8 XENON_high 7000 n 93.1624  0.00751933 0.478878
8 XENON_high 7000 p 134.536  0.0124541 0.0555612
9 XENON_high 7000 n 68.8683  0.0598611 6.66536
9 XENON_high 7000 p 37.6964  1.69875 1.6972
10 XENON_high 7000 n 37.7984  0.027474 8.21805
10 XENON_high 7000 p 44.9131  1.19409 4.1112
11 XENON_high 7000 n 51.0635  -0.000116612 8.36883
11 XENON_high 7000 p 47.0543  0.000160766 8.01045
12 XENON_high 7000 n 45.129  0.00117142 7.78301
12 XENON_high 7000 p 41.9232  0.00152391 7.77449
13 XENON_high 7000 n 34.5204  0.59855 33.6653
13 XENON_high 7000 p 33.6965  3.08459 48.2511
14 XENON_high 7000 n 74.4343  -90.8542 6.60709
14 XENON_high 7000 p 39.6951  2579.04 1.46863
15 XENON_high 7000 n 33.4555  0.296076 84.3608
15 XENON_high 7000 p 33.3978  0.365974 94.1417
1 GERMANIUM_high 10000 n 7.84944e+06  0.00105882 0.677337
1 GERMANIUM_high 10000 p 3.73658e+06  0.000899967 0.207339
3 GERMANIUM_high 10000 n 48.5425  0.0231272 28.8941
3 GERMANIUM_high 10000 p 47.2815  -0.0120169 29.8169
4 GERMANIUM_high 10000 n 9.01833e+06  -0.711917 2.28907
4 GERMANIUM_high 10000 p 149.893  0.171158 0.813271
5 GERMANIUM_high 10000 n 58.6279  0.110585 10.6024
5 GERMANIUM_high 10000 p 83.6999  0.185709 7.37952
6 GERMANIUM_high 10000 n 48.0294  -1.035 25.2234
6 GERMANIUM_high 10000 p 45.2236  95.0995 4.87667
7 GERMANIUM_high 10000 n 4.08866e+07  1531.98 14.6786
7 GERMANIUM_high 10000 p 183.001  152.595 0.0270828
8 GERMANIUM_high 10000 n 131.296  0.0078349 0.514729
8 GERMANIUM_high 10000 p 7.82886e+06  2.71332 0.40509
9 GERMANIUM_high 10000 n 128.301  -0.0658929 3.74304
9 GERMANIUM_high 10000 p 60.561  2.53475 6.50875
10 GERMANIUM_high 10000 n 68.7874  0.0322278 5.69841
10 GERMANIUM_high 10000 p 60.3143  2.7578 3.9778
11 GERMANIUM_high 10000 n 80.5175  0.000138388 7.84404
11 GERMANIUM_high 10000 p 76.5293  0.000170765 7.84382
12 GERMANIUM_high 10000 n 70.8469  0.00289546 7.83368
12 GERMANIUM_high 10000 p 66.3888  0.00149221 7.98729
13 GERMANIUM_high 10000 n 47.1949  0.76596 29.2649
13 GERMANIUM_high 10000 p 45.7976  4.04258 31.2392
14 GERMANIUM_high 10000 n 148.886  103.682 3.58546
14 GERMANIUM_high 10000 p 65.616  3889.45 6.10537
15 GERMANIUM_high 10000 n 41.7495  0.705668 67.7069
15 GERMANIUM_high 10000 p 41.2607  0.363641 70.484
1 SILICON_high 19000 n 8.99246e+08  0.0231386 5119.96
1 SILICON_high 19000 p 9.83188e+08  0.0243935 5120.68
3 SILICON_high 19000 n 7.50202e+08  57.9454 4950.89
3 SILICON_high 19000 p 7.77443e+08  58.4746 4949.61
4 SILICON_high 19000 n 8.31447e+08  12.7653 5098.9
4 SILICON_high 19000 p 9.75301e+08  910.092 5111.89
5 SILICON_high 19000 n 6.46681e+08  717.777 5014.82
5 SILICON_high 19000 p 9.82502e+08  939.782 5062.51
6 SILICON_high 19000 n 5.20686e+08  -3568.53 4926.78
6 SILICON_high 19000 p 7.13025e+08  256468 4932.06
7 SILICON_high 19000 n 1.13212e+09  14896 5191.32
7 SILICON_high 19000 p 1.19171e+09  1.0443e+06 5312.13
8 SILICON_high 19000 n 9.7737e+08  51.2709 5121.38
8 SILICON_high 19000 p 9.708e+08  53.2917 5173.37
9 SILICON_high 19000 n 6.94643e+08  260.016 5030.32
