//recoil spectrum for detector SILICON_high
//WIMP sim. pars: Mx = 50 GeV, spin = 0.5
//           C1p = 0, C2p = 0, C3p = 0, C4p = 0, C5p = 0, C6p = 10, C7p = 0, C8p = 0, C9p = 0, C10p = 0, C11p = 0, C12p = 0, C13p = 0, C14p = 0, C15p = 0, 
//           C1n = 0, C2n = 0, C3n = 0, C4n = 0, C5n = 0, C6n = 0, C7n = 0, C8n = 0, C9n = 0, C10n = 0, C11n = 0, C12n = 0, C13n = 0, C14n = 0, C15n = 0, 
//Astrophysical parameters: rho = 0.3 GeV/cm^3, v0 = 220 km/s, vesc = 544 km/s
//Er(keV)         WIMP-rate         Bg-rate           total-rate (/keV/t/year)
2.57500000e+01    2.40308699e-07    1.19959886e-04    1.20200195e-04
2.65000000e+01    2.45267346e-07    1.19892468e-04    1.20137735e-04
2.72500000e+01    2.49883203e-07    1.18255559e-04    1.18505442e-04
2.80000000e+01    2.54155720e-07    1.16735893e-04    1.16990049e-04
2.87500000e+01    2.58085484e-07    1.15279980e-04    1.15538065e-04
2.95000000e+01    2.61674134e-07    1.13906468e-04    1.14168142e-04
3.02500000e+01    2.64924278e-07    1.12601821e-04    1.12866745e-04
3.10000000e+01    2.67839412e-07    1.11352301e-04    1.11620140e-04
3.17500000e+01    2.70423840e-07    1.10140782e-04    1.10411206e-04
3.25000000e+01    2.72682604e-07    1.08990323e-04    1.09263006e-04
3.32500000e+01    2.74621411e-07    1.07893620e-04    1.08168242e-04
3.40000000e+01    2.76246571e-07    1.06831604e-04    1.07107851e-04
3.47500000e+01    2.77564926e-07    1.05795633e-04    1.06073198e-04
3.55000000e+01    2.78583799e-07    1.04793271e-04    1.05071855e-04
3.62500000e+01    2.79310929e-07    1.03825105e-04    1.04104416e-04
3.70000000e+01    2.79754424e-07    1.02892299e-04    1.03172053e-04
3.77500000e+01    2.79922706e-07    1.01983245e-04    1.02263168e-04
3.85000000e+01    2.79824465e-07    1.01098277e-04    1.01378101e-04
3.92500000e+01    2.79468615e-07    1.00215822e-04    1.00495290e-04
4.00000000e+01    2.78864252e-07    9.93513575e-05    9.96302217e-05
4.07500000e+01    2.78020613e-07    9.85123155e-05    9.87903362e-05
4.15000000e+01    2.76947042e-07    9.76863254e-05    9.79632724e-05
4.22500000e+01    2.75652955e-07    9.68813716e-05    9.71570245e-05
4.30000000e+01    2.74147808e-07    9.60914719e-05    9.63656197e-05
4.37500000e+01    2.72441067e-07    9.53206295e-05    9.55930706e-05
4.45000000e+01    2.70542183e-07    9.45594762e-05    9.48300184e-05
4.52500000e+01    2.68460566e-07    9.38208437e-05    9.40893043e-05
4.60000000e+01    2.66205561e-07    9.30921458e-05    9.33583513e-05
4.67500000e+01    2.63786431e-07    9.23757082e-05    9.26394947e-05
4.75000000e+01    2.61212331e-07    9.16716438e-05    9.19328562e-05
4.82500000e+01    2.58492297e-07    9.09741862e-05    9.12326785e-05
4.90000000e+01    2.55635227e-07    9.02890918e-05    9.05447270e-05
4.97500000e+01    2.52649868e-07    8.96156636e-05    8.98683135e-05
