//recoil spectrum for detector XENON_high
//WIMP sim. pars: Mx = 100 GeV, spin = 0.5
//           C1p = 0.0001, C2p = 0, C3p = 0, C4p = 0, C5p = 0, C6p = 0, C7p = 0, C8p = 0, C9p = 0, C10p = 0, C11p = 0, C12p = 0, C13p = 0, C14p = 0, C15p = 0, 
//           C1n = 0.0001, C2n = 0, C3n = 0, C4n = 0, C5n = 0, C6n = 0, C7n = 0, C8n = 0, C9n = 0, C10n = 0, C11n = 0, C12n = 0, C13n = 0, C14n = 0, C15n = 0, 
//Astrophysical parameters: rho = 0.3 GeV/cm^3, v0 = 220 km/s, vesc = 544 km/s
//Er(keV)         WIMP-rate         Bg-rate           total-rate (/keV/t/year)
1.99000000e+00    4.56079663e+00    1.99997705e+01    2.45605671e+01
2.98000000e+00    4.26190576e+00    4.13149416e-01    4.67505517e+00
3.97000000e+00    3.98117460e+00    2.47548040e-02    4.00592940e+00
4.96000000e+00    3.71759237e+00    5.49670556e-03    3.72308907e+00
5.95000000e+00    3.47019841e+00    3.08411768e-03    3.47328253e+00
6.94000000e+00    3.23808014e+00    2.79055262e-03    3.24087069e+00
7.93000000e+00    3.02037102e+00    2.55404873e-03    3.02292507e+00
8.92000000e+00    2.81624864e+00    2.35077098e-03    2.81859941e+00
9.91000000e+00    2.62493280e+00    2.17157755e-03    2.62710438e+00
1.09000000e+01    2.44568368e+00    2.01083897e-03    2.44769452e+00
1.18900000e+01    2.27780004e+00    1.86748992e-03    2.27966753e+00
1.28800000e+01    2.12061751e+00    1.73595478e-03    2.12235346e+00
1.38700000e+01    1.97350689e+00    1.61592933e-03    1.97512282e+00
1.48600000e+01    1.83587258e+00    1.50539104e-03    1.83737797e+00
1.58500000e+01    1.70715097e+00    1.40326928e-03    1.70855423e+00
1.68400000e+01    1.58680893e+00    1.30912716e-03    1.58811806e+00
1.78300000e+01    1.47434244e+00    1.22296296e-03    1.47556540e+00
1.88200000e+01    1.36927509e+00    1.14275186e-03    1.37041784e+00
